"gender","age","attitude","deep","stra","surf","points"
"F",53,37,0.969566288812223,0.314245084529797,0.925146771037182,25
"M",55,31,0.789181862986693,0.255780882756812,1.13405088062622,12
"F",49,25,0.947018235584032,0.306937059308174,0.805772994129158,24
"M",53,35,0.947018235584032,0.306937059308174,0.805772994129158,10
"M",49,37,0.992114342040414,0.32155310975142,1.0146771037182,22
"F",38,38,1.2852390340069,0.416557437632522,0.86545988258317,21
"M",50,35,1.0372104484968,0.336169160194667,0.686399217221135,21
"F",37,29,0.879374075899458,0.285012983643304,1.0146771037182,31
"M",37,38,1.17249876786594,0.380017311524406,0.775929549902153,24
"F",42,21,1.08230655495318,0.350785210637913,1.07436399217221,26
"M",37,39,0.969566288812223,0.314245084529797,0.954990215264188,31
"F",34,38,1.0372104484968,0.336169160194667,0.86545988258317,31
"F",34,24,1.14995071463775,0.372709286302783,0.805772994129158,23
"F",34,30,0.901922129127649,0.292321008864928,0.984833659491194,25
"M",35,26,1.12740266140956,0.36540126108116,0.835616438356164,21
"F",33,41,0.992114342040414,0.32155310975142,0.835616438356164,31
"F",32,26,1.10485460818137,0.358093235859536,1.04452054794521,20
"F",44,26,0.947018235584032,0.306937059308174,0.895303326810176,22
"M",29,17,1.10485460818137,0.358093235859536,1.34295499021526,9
"F",30,27,1.08230655495318,0.350785210637913,0.984833659491194,24
"M",27,39,1.05975850172499,0.34347718541629,0.835616438356164,28
"M",29,34,1.08230655495318,0.350785210637913,0.86545988258317,30
"F",31,27,1.08230655495318,0.350785210637913,1.07436399217221,24
"F",37,23,0.992114342040414,0.32155310975142,0.86545988258317,9
"F",26,37,0.992114342040414,0.32155310975142,1.0146771037182,26
"F",26,44,1.19504682109414,0.387325336746029,1.13405088062622,32
"M",30,41,1.05975850172499,0.34347718541629,1.07436399217221,32
"F",33,37,1.01466239526861,0.328861134973044,0.716242661448141,33
"F",33,25,0.879374075899458,0.285012983643304,1.25342465753425,29
"M",28,30,0.969566288812223,0.314245084529797,1.34295499021526,30
"M",26,34,1.33033514046328,0.431173488075768,0.895303326810176,19
"F",27,32,0.969566288812223,0.314245084529797,0.746086105675147,23
"F",25,20,0.789181862986693,0.255780882756812,0.86545988258317,19
"F",31,24,0.992114342040414,0.32155310975142,0.925146771037182,12
"M",20,42,1.21759487432233,0.394633361967652,0.567025440313112,10
"F",39,16,1.10485460818137,0.358093235859536,1.0146771037182,11
"M",38,31,1.0372104484968,0.336169160194667,0.656555772994129,20
"M",24,38,0.879374075899458,0.285012983643304,0.86545988258317,26
"M",26,38,0.631345490389354,0.204624706205449,1.16389432485323,31
"M",25,33,0.901922129127649,0.292321008864928,1.22358121330724,20
"F",30,17,1.10485460818137,0.358093235859536,1.22358121330724,23
"F",25,25,0.789181862986693,0.255780882756812,1.13405088062622,12
"M",30,32,0.901922129127649,0.292321008864928,1.25342465753425,24
"F",48,35,1.0372104484968,0.336169160194667,0.954990215264188,17
"F",24,32,0.992114342040414,0.32155310975142,0.86545988258317,29
"F",40,42,1.26269098077871,0.409249412410899,1.28326810176125,23
"M",25,31,1.01466239526861,0.328861134973044,0.746086105675147,28
"F",23,39,0.92447018235584,0.299629034086551,1.34295499021526,31
"F",25,19,1.12740266140956,0.36540126108116,1.04452054794521,23
"F",23,21,0.789181862986693,0.255780882756812,1.04452054794521,25
"M",27,25,1.12740266140956,0.36540126108116,0.86545988258317,18
"M",25,32,0.969566288812223,0.314245084529797,1.07436399217221,19
"M",23,32,0.766633809758502,0.248472857535189,1.22358121330724,22
"F",23,26,1.08230655495318,0.350785210637913,1.04452054794521,25
"F",23,23,0.789181862986693,0.255780882756812,1.16389432485323,21
"F",45,38,0.811729916214884,0.263088907978435,1.16389432485323,9
"F",22,28,1.10485460818137,0.358093235859536,0.835616438356164,28
"F",23,33,0.789181862986693,0.255780882756812,1.16389432485323,25
"M",21,48,0.947018235584032,0.306937059308174,0.895303326810176,29
"M",21,40,1.17249876786594,0.380017311524406,0.626712328767123,33
"F",21,40,1.14995071463775,0.372709286302783,0.805772994129158,33
"F",21,47,0.92447018235584,0.299629034086551,0.746086105675147,25
"F",26,23,0.834277969443075,0.270396933200058,1.0146771037182,18
"F",25,31,1.24014292755052,0.401941387189276,1.0146771037182,22
"F",26,27,0.92447018235584,0.299629034086551,0.86545988258317,17
"M",21,41,0.92447018235584,0.299629034086551,0.805772994129158,25
"F",23,34,0.92447018235584,0.299629034086551,1.0146771037182,28
"F",22,25,0.969566288812223,0.314245084529797,0.805772994129158,22
"F",22,21,0.428413011335633,0.138852479210841,0.656555772994129,26
"F",22,14,0.901922129127649,0.292321008864928,1.04452054794521,11
"F",23,19,1.17249876786594,0.380017311524406,1.04452054794521,29
"M",22,37,1.19504682109414,0.387325336746029,0.746086105675147,22
"M",23,32,1.30778708723509,0.423865462854145,0.835616438356164,21
"M",24,28,0.834277969443075,0.270396933200058,0.86545988258317,28
"F",22,41,0.811729916214884,0.263088907978435,0.984833659491194,33
"F",23,25,1.10485460818137,0.358093235859536,1.16389432485323,16
"M",22,28,1.10485460818137,0.358093235859536,0.626712328767123,31
"M",20,38,1.01466239526861,0.328861134973044,0.925146771037182,22
"M",22,31,0.834277969443075,0.270396933200058,1.19373776908023,31
"M",21,35,1.2852390340069,0.416557437632522,1.0146771037182,23
"F",22,36,1.14995071463775,0.372709286302783,0.895303326810176,26
"F",23,26,1.12740266140956,0.36540126108116,0.86545988258317,12
"M",21,44,1.19504682109414,0.387325336746029,0.86545988258317,26
"M",22,45,1.0372104484968,0.336169160194667,0.925146771037182,31
"M",29,32,0.901922129127649,0.292321008864928,1.07436399217221,19
"F",29,39,0.856826022671267,0.277704958421681,0.716242661448141,30
"F",21,25,0.856826022671267,0.277704958421681,1.22358121330724,12
"M",28,33,1.0372104484968,0.336169160194667,1.0146771037182,17
"F",21,33,1.14995071463775,0.372709286302783,0.805772994129158,18
"F",30,30,1.0372104484968,0.336169160194667,0.984833659491194,19
"F",21,29,0.992114342040414,0.32155310975142,1.40264187866928,21
"M",23,33,1.0372104484968,0.336169160194667,0.835616438356164,24
